,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,Exam2,Final,original,semester
90,101208090,6461,6461,6463,6461,6450,3620,6461,3620,3300,6450,6463,5600,6463,6461,6461,6461,3400,6461,42,22.0,38.0,91.6,99
91,101208084,6461,6461,6310,6461,6461,6350,6461,6461,6461,6463,6461,6461,6461,6461,6461,6461,6461,6461,20,15.5,32.5,70.7,83
92,101208082,6461,6409,6461,6465,6310,4500,6461,6463,6461,6461,6100,5200,6461,6409,6420,6461,6461,6540,20,8.5,28.0,72.1,85
93,101208080,6461,6461,6464,6461,6450,6461,6461,6461,6461,6450,6463,6420,6461,6461,6463,6450,6463,6509,42,23.5,30.0,86.3,99
94,101208079,6461,6450,6420,3300,6461,6461,6461,6461,6463,6461,6463,6420,6464,6463,6465,6461,6450,6420,43,16.5,28.5,76.9,89
95,101208078,6461,6463,6420,6461,6463,6440,6461,6461,6463,6461,6220,6440,6461,6461,6461,6461,6461,6465,31,13.0,21.0,55.0,67
96,101208070,6461,6461,6464,6461,6463,6461,6461,6461,6461,6461,6420,6461,6463,6461,6461,6461,6461,6461,41,21.0,28.0,79.8,92
97,101208065,6461,6465,6461,6461,6461,6461,6461,6461,6461,6461,6461,6463,6461,6461,6461,6461,6461,6461,42,21.5,38.5,87.4,99
98,101208064,6461,6463,6464,6420,3620,6465,6465,6464,6463,6461,4500,6461,6461,6461,6220,6461,6465,6461,20,14.5,18.0,61.4,74
99,101208062,6461,6465,6463,6420,6463,6461,6463,6450,6409,6464,6463,6461,6463,6461,6463,6461,6430,6430,20,7.5,28.0,69.2,82
100,101208060,6461,6461,6450,6464,6461,6461,6461,6461,6461,6461,6461,2300,6461,6461,6461,6461,6461,6600,31,14.5,17.5,57.4,70
101,101208058,6461,4200,6260,5200,6450,4400,6465,6550,6461,6420,6260,4600,1100,6464,6463,6461,6461,6509,42,23.5,33.5,88.9,99
102,101208056,6461,6464,6464,6463,6240,6461,6461,6461,6461,6461,6220,4400,6461,6461,6461,6461,6210,6461,20,20.5,20.5,66.6,80
103,101208055,6461,6461,6461,6350,6461,6465,6461,4400,6465,6461,6461,6540,6461,6461,6461,6461,6462,6430,20,16.5,24.0,66.9,79
104,101208054,6461,6464,6463,6461,6320,6250,6463,6461,6463,6463,6461,4500,6461,6463,6463,6461,6461,6461,20,8.5,28.5,67.1,80
105,101208053,6461,6420,6464,6461,6461,6461,6463,6464,6461,6461,6463,6461,6465,3620,6461,3300,6461,6461,20,21.0,17.0,69.4,82
