id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,Exam1,Exam2,Final,semester
101205093,0.71,0.71,0.71,0.79,0.75,0.75,0.71,0.71,0.71,0.71,0.4,0.9,0.78,0.75,0.72,0.71,0.71,0.1,9.5,9.5,19.5,62
101205043,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.78,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.4,18.0,8.0,8.0,64
101205029,0.71,0.75,0.73,0.71,0.71,0.2,0.71,0.71,0.72,0.75,0.5,0.2,0.71,0.5,0.73,0.71,0.71,0.71,20.0,20.5,22.5,85
101204026,0.71,0.75,0.71,0.2,0.75,0.71,0.71,0.71,0.71,0.71,0.1,0.72,0.79,0.74,0.71,0.71,0.71,0.6,13.0,15.0,36.0,91
101203054,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.77,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.71,15.0,20.0,29.0,90
101203004,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,11.5,6.0,11.0,56
101103034,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.8,0.71,0.71,0.71,0.71,0.71,0.2,9.5,10.0,15.0,60
101102026,0.71,0.71,0.71,0.71,0.71,0.78,0.71,0.71,0.71,0.71,0.71,0.76,0.71,0.71,0.71,0.71,0.71,0.75,12.5,8.5,15.0,65
101102025,0.71,0.71,0.71,0.75,0.79,0.2,0.71,0.79,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.77,17.5,18.5,33.0,94
101101050,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,10.5,19.0,25.0,81
100508018,0.71,0.71,0.77,0.74,0.2,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.79,0.2,0.71,13.5,13.5,31.5,86
100401072,0.71,0.71,0.71,0.71,0.75,0.4,0.71,0.71,0.76,0.75,0.4,0.5,0.71,0.75,0.5,0.71,0.3,0.5,13.5,16.5,27.2,81
100401044,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.2,0.5,13.5,9.5,28.0,78
100208053,0.71,0.74,0.71,0.71,0.71,0.76,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.78,0.71,22.0,22.5,32.0,96
100206009,0.71,0.71,0.76,0.71,0.71,0.5,0.71,0.77,0.71,0.71,0.71,0.73,0.75,0.71,0.72,0.71,0.71,0.74,18.5,25.0,35.5,99
100202044,0.71,0.71,0.71,0.79,0.71,0.71,0.71,0.71,0.71,0.71,0.8,0.2,0.71,0.71,0.71,0.71,0.71,0.3,12.0,7.0,23.0,67
100104041,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.76,0.79,0.77,0.71,0.74,0.71,0.71,0.71,0.71,0.2,15.0,20.5,29.0,94
100101021,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.74,0.71,0.75,0.76,0.71,19.0,15.5,36.0,98
