,PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund
315,201601,102079,7139.06,7139.06,0,0,0,0,0,0,0,0
316,201602,102079,9507.45,9507.45,0,0,0,0,0,0,0,0
317,201603,102079,17002.84,17002.84,0,0,0,0,0,0,0,0
318,201604,102079,11746.99,11746.99,0,0,0,0,0,0,0,0
319,201605,102079,13001.2,13001.2,0,0,0,0,0,0,0,0
320,201606,102079,35829.17,35829.17,0,0,0,0,0,0,0,0
321,201607,102079,8798.2,8798.2,0,0,0,0,0,0,0,0
322,201608,102079,21575.57,21575.57,0,0,0,0,0,0,0,0
323,201609,102079,30695.76,30695.76,0,0,0,0,0,0,0,0
324,201610,102079,1598,1598,0,0,0,0,0,0,0,0
325,201611,102079,2996.4,2996.4,0,0,0,0,0,0,0,0
326,201612,102079,4388.6,4388.6,0,0,0,0,0,0,0,0
327,201701,102079,10755,10755,0,0,0,0,0,0,0,0
328,201702,102079,10355.45,10355.45,0,0,0,0,0,0,0,0
329,201703,102079,3811.7,3811.7,0,0,0,0,0,0,0,0
330,201704,102079,7194.1,7194.1,0,0,0,0,0,0,0,0
331,201705,102079,26595.51,26595.51,0,0,0,0,0,0,0,0
332,201706,102079,34685.31,34685.31,0,0,0,0,0,0,0,0
333,201602,102160,27550,27550,0,0,0,0,0,0,0,0
334,201603,102160,27550,27550,0,0,0,0,0,0,0,0
335,201604,102160,27550,27550,0,0,0,0,0,0,0,0
336,201605,102160,4640,4640,0,0,0,0,0,0,0,0
337,201608,102160,-6760,0,-6760,0,0,0,0,0,0,0
338,201609,102160,-6760,0,0,-6760,0,0,0,0,0,0
339,201610,102160,-6760,0,0,0,-6760,0,0,0,0,0
340,201611,102160,-6760,0,0,0,0,-6760,0,0,0,0
341,201601,10225,6733.49,6733.49,0,0,0,0,0,0,0,0
342,201602,10225,7807.96,7807.96,0,0,0,0,0,0,0,0
343,201603,10225,7343.58,7343.58,0,0,0,0,0,0,0,0
344,201604,10225,7719.11,7719.11,0,0,0,0,0,0,0,0
345,201605,10225,5025.09,5025.09,0,0,0,0,0,0,0,0
346,201606,10225,4859.94,4859.94,0,0,0,0,0,0,0,0
347,201607,10225,4287.77,4287.77,0,0,0,0,0,0,0,0
348,201608,10225,7540.31,7540.31,0,0,0,0,0,0,0,0
349,201609,10225,8710.96,8710.96,0,0,0,0,0,0,0,0
350,201610,10225,10204.38,10204.38,0,0,0,0,0,0,0,0
351,201611,10225,11501.62,11501.62,0,0,0,0,0,0,0,0
352,201612,10225,9742.06,9742.06,0,0,0,0,0,0,0,0
353,201701,10225,3559.1,3559.1,0,0,0,0,0,0,0,0
354,201702,10225,1250.18,1250.18,0,0,0,0,0,0,0,0
355,201703,10225,1360.31,1360.31,0,0,0,0,0,0,0,0
356,201704,10225,717.93,717.93,0,0,0,0,0,0,0,0
357,201705,10225,911.8,911.8,0,0,0,0,0,0,0,0
358,201706,10225,1449.7,1449.7,0,0,0,0,0,0,0,0
359,201601,102359,742895.68,742895.68,0,0,0,0,0,0,0,0
360,201602,102359,914820,916820,-2000,0,0,0,0,0,0,0
361,201603,102359,867710,867710,0,0,0,0,0,0,0,0
362,201604,102359,815690,815690,0,0,0,0,0,0,0,0
