TA_video,TA_text,Teacher_video,Teacher_text,id,week,clustered_label
0,8,31,989,101208017,week3,5400
0,84,0,552,101208017,week4,5560
0,0,12878,252,101208017,week5,4600
0,0,0,967,101208017,week6,5400
0,0,0,47,101208017,week7,5522
0,0,0,0,101208017,week8,5521
0,0,0,0,101208017,week9,5521
0,0,0,7,101208017,week10,5521
0,0,0,0,101208017,week11,5521
11063,94,0,0,101208017,week12,2400
0,0,0,0,101208017,week13,5521
0,60,0,0,101208017,week14,5524
0,5,0,0,101208017,week15,5521
0,0,0,0,101208017,week16,5521
0,0,0,0,101208017,week17,5521
1533,142,0,477,101208017,week18,5600
0,0,0,0,101208025,week1,5521
0,0,0,0,101208025,week2,5521
0,419,0,904,101208025,week3,5400
0,765,0,1152,101208025,week4,5400
0,0,0,0,101208025,week5,5521
0,24,14185,766,101208025,week6,1200
0,0,0,55,101208025,week7,5522
0,0,0,5,101208025,week8,5521
0,0,0,0,101208025,week9,5521
0,0,0,0,101208025,week10,5521
0,0,0,6624,101208025,week11,3220
0,3477,0,7718,101208025,week12,3250
0,0,0,0,101208025,week13,5521
0,0,0,0,101208025,week14,5521
0,0,0,0,101208025,week15,5521
0,0,0,0,101208025,week16,5521
0,0,0,6,101208025,week17,5521
0,0,0,2500,101208025,week18,5230
0,0,0,0,101208031,week1,5521
0,0,0,0,101208031,week2,5521
0,18,0,52,101208031,week3,5522
6,138,0,207,101208031,week4,5529
0,0,205,44,101208031,week5,5523
0,48,1487,493,101208031,week6,5300
0,0,0,0,101208031,week7,5521
0,0,9,153,101208031,week8,5526
4398,615,0,2347,101208031,week9,5100
0,10,0,19,101208031,week10,5521
0,0,0,103,101208031,week11,5526
0,0,21,40,101208031,week12,5522
0,0,0,12,101208031,week13,5521
0,0,0,33,101208031,week14,5522
63,0,0,12,101208031,week15,5525
0,0,0,0,101208031,week16,5521
5,0,0,0,101208031,week17,5521
0,0,0,0,101208031,week18,5521
0,0,11,6,101208034,week1,5521
0,9,15,78,101208034,week2,5522
18,40,0,74,101208034,week3,5522
0,0,0,24,101208034,week4,5521
0,0,144,45,101208034,week5,5523
0,0,0,0,101208034,week6,5521
0,0,0,34,101208034,week7,5522
0,6,0,24,101208034,week8,5521
0,9,0,19,101208034,week9,5521
0,8,0,7,101208034,week10,5521
0,20,0,23,101208034,week11,5521
0,5,0,0,101208034,week12,5521
13,18,0,6,101208034,week13,5521
0,20,0,9,101208034,week14,5521
0,18,0,59,101208034,week15,5522
0,5,0,9,101208034,week16,5521
0,6,0,24,101208034,week17,5521
0,0,0,36,101208034,week18,5522
0,0,0,0,101208050,week1,5521
0,0,19,26,101208050,week2,5521
0,833,115,551,101208050,week3,5400
0,22,6,34,101208050,week4,5522
0,0,0,0,101208050,week5,5521
0,30,25612,33,101208050,week6,1400
0,16,18,195,101208050,week7,5526
0,0,0,16,101208050,week8,5521
0,0,0,0,101208050,week9,5521
0,0,0,0,101208050,week10,5521
0,20,0,93,101208050,week11,5526
17601,38,8741,48,101208050,week12,2320
0,0,0,0,101208050,week13,5521
0,0,0,0,101208050,week14,5521
0,0,0,0,101208050,week15,5521
0,0,0,0,101208050,week16,5521
0,0,0,35,101208050,week17,5522
299,0,0,0,101208050,week18,5510
0,0,0,0,101208052,week1,5521
0,107,0,67,101208052,week2,5524
0,140,10,31,101208052,week3,5524
0,32,0,17,101208052,week4,5521
0,0,310,91,101208052,week5,5539
2753,0,1877,4122,101208052,week6,5210
0,92,0,22,101208052,week7,5524
0,5,0,20,101208052,week8,5521
0,203,0,77,101208052,week9,5529
0,3434,0,0,101208052,week10,6300
0,123,0,25,101208052,week11,5524
0,0,37707,6,101208052,week12,1300
0,214,0,18,101208052,week13,5529
0,13,0,331,101208052,week14,5560
0,38,0,87,101208052,week15,5522
0,0,0,0,101208052,week16,5521
11,0,0,64,101208052,week17,5522
0,0,0,773,101208052,week18,5400
0,0,0,0,101208053,week1,5521
0,135,0,29,101208053,week2,5524
0,40,0,73,101208053,week3,5522
0,0,0,16,101208053,week4,5521
0,0,0,21,101208053,week5,5521
0,0,0,19,101208053,week6,5521
0,15,0,51,101208053,week7,5522
0,39,0,32,101208053,week8,5522
0,0,0,0,101208053,week9,5521
0,0,0,0,101208053,week10,5521
0,11,0,59,101208053,week11,5522
0,17,0,0,101208053,week12,5521
0,11,0,129,101208053,week13,5526
0,0,0,2638,101208053,week14,5230
0,0,0,16,101208053,week15,5521
0,0,0,7699,101208053,week16,3210
0,0,0,20,101208053,week17,5521
0,0,0,0,101208053,week18,5521
0,0,0,0,101208054,week1,5521
0,26,0,29,101208054,week2,5522
0,13,0,66,101208054,week3,5522
0,14,0,0,101208054,week4,5521
0,6,6162,237,101208054,week5,4100
0,0,2413,1891,101208054,week6,5300
0,0,0,51,101208054,week7,5522
0,0,0,5,101208054,week8,5521
0,0,0,79,101208054,week9,5522
0,0,0,80,101208054,week10,5522
0,0,0,0,101208054,week11,5521
0,0,11692,407,101208054,week12,4600
0,0,0,0,101208054,week13,5521
0,0,0,57,101208054,week14,5522
0,0,0,83,101208054,week15,5522
0,0,0,0,101208054,week16,5521
0,0,0,24,101208054,week17,5521
0,0,0,13,101208054,week18,5521
0,0,0,0,101208055,week1,5521
0,0,0,0,101208055,week2,5521
0,0,16,17,101208055,week3,5521
0,0,8128,37,101208055,week4,4300
0,0,164,0,101208055,week5,5523
73,0,337,15,101208055,week6,5539
0,0,0,0,101208055,week7,5521
0,0,13936,180,101208055,week8,1200
0,0,0,118,101208055,week9,5526
0,0,0,0,101208055,week10,5521
0,0,0,0,101208055,week11,5521
1872,6,245,6,101208055,week12,5600
0,0,0,0,101208055,week13,5521
0,0,0,0,101208055,week14,5521
0,0,0,0,101208055,week15,5521
0,0,0,0,101208055,week16,5521
124,0,0,5,101208055,week17,5525
680,6,53,63,101208055,week18,5510
0,0,0,0,101208056,week1,5521
0,30,0,81,101208056,week2,5522
0,34,0,40,101208056,week3,5522
0,15,0,65,101208056,week4,5522
0,0,0,1862,101208056,week5,5400
0,0,0,20,101208056,week6,5521
0,0,0,0,101208056,week7,5521
0,0,0,0,101208056,week8,5521
0,0,0,0,101208056,week9,5521
0,0,0,0,101208056,week10,5521
0,0,0,866,101208056,week11,5400
6,0,18354,14,101208056,week12,1200
0,0,0,0,101208056,week13,5521
0,0,0,0,101208056,week14,5521
0,0,0,19,101208056,week15,5521
0,0,0,8,101208056,week16,5521
0,0,0,1460,101208056,week17,5400
0,0,0,0,101208056,week18,5521
0,0,17,14,101208058,week1,5521
0,19,21601,37,101208058,week2,1400
0,20,2589,707,101208058,week3,5300
14732,0,0,143,101208058,week4,2310
0,0,382,487,101208058,week5,5560
0,0,15741,217,101208058,week6,1200
0,15,0,109,101208058,week7,5526
1571,80,1194,17,101208058,week8,5600
0,0,0,0,101208058,week9,5521
0,129,0,47,101208058,week10,5524
0,0,1768,774,101208058,week11,5300
10025,0,21955,0,101208058,week12,1100
0,21,0,21703,101208058,week13,3100
0,15,0,29,101208058,week14,5522
0,6,0,61,101208058,week15,5522
0,0,0,6,101208058,week16,5521
